timestamp,event_type,variable,value,depth,domain_size,pruned_values,constraint,result
2025-10-14T18:37:01.469198,assignment,Q0,0.0,1.0,,,,
2025-10-14T18:37:01.469220,propagation,Q1,,,,[1],,
2025-10-14T18:37:01.469231,propagation,Q2,,,,[2],,
2025-10-14T18:37:01.469243,propagation,Q3,,,,[3],,
2025-10-14T18:37:01.469260,constraint_check,,,,,,"Constraint(scope=['Q0', 'Q1'], name=nqueens_not_diagonal)",True
2025-10-14T18:37:01.469266,assignment,Q1,0.0,2.0,,,,
2025-10-14T18:37:01.469281,propagation,Q2,,,,[1],,
2025-10-14T18:37:01.469288,propagation,Q3,,,,[2],,
2025-10-14T18:37:01.469297,constraint_check,,,,,,"Constraint(scope=['Q0', 'Q2'], name=nqueens_not_diagonal)",True
2025-10-14T18:37:01.469303,constraint_check,,,,,,"Constraint(scope=['Q1', 'Q2'], name=nqueens_not_diagonal)",True
2025-10-14T18:37:01.469306,assignment,Q2,0.0,3.0,,,,
2025-10-14T18:37:01.469317,propagation,Q3,,,,[1],,
2025-10-14T18:37:01.469328,constraint_check,,,,,,"Constraint(scope=['Q0', 'Q3'], name=nqueens_not_diagonal)",True
2025-10-14T18:37:01.469333,constraint_check,,,,,,"Constraint(scope=['Q1', 'Q3'], name=nqueens_not_diagonal)",True
2025-10-14T18:37:01.469339,constraint_check,,,,,,"Constraint(scope=['Q2', 'Q3'], name=nqueens_not_diagonal)",True
2025-10-14T18:37:01.469340,assignment,Q3,0.0,4.0,,,,
2025-10-14T18:37:01.469356,constraint_check,,,,,,"Constraint(scope=['Q0', 'Q2'], name=nqueens_not_diagonal)",True
2025-10-14T18:37:01.469361,constraint_check,,,,,,"Constraint(scope=['Q1', 'Q2'], name=nqueens_not_diagonal)",True
2025-10-14T18:37:01.469365,assignment,Q2,3.0,3.0,,,,
2025-10-14T18:37:01.469379,constraint_check,,,,,,"Constraint(scope=['Q0', 'Q3'], name=nqueens_not_diagonal)",True
2025-10-14T18:37:01.469383,constraint_check,,,,,,"Constraint(scope=['Q1', 'Q3'], name=nqueens_not_diagonal)",True
2025-10-14T18:37:01.469386,constraint_check,,,,,,"Constraint(scope=['Q2', 'Q3'], name=nqueens_not_diagonal)",True
2025-10-14T18:37:01.469391,assignment,Q3,0.0,4.0,,,,
2025-10-14T18:37:01.469402,constraint_check,,,,,,"Constraint(scope=['Q0', 'Q3'], name=nqueens_not_diagonal)",True
2025-10-14T18:37:01.469405,constraint_check,,,,,,"Constraint(scope=['Q1', 'Q3'], name=nqueens_not_diagonal)",True
2025-10-14T18:37:01.469408,constraint_check,,,,,,"Constraint(scope=['Q2', 'Q3'], name=nqueens_not_diagonal)",True
2025-10-14T18:37:01.469412,assignment,Q3,1.0,4.0,,,,
2025-10-14T18:37:01.469422,constraint_check,,,,,,"Constraint(scope=['Q0', 'Q1'], name=nqueens_not_diagonal)",True
2025-10-14T18:37:01.469426,assignment,Q1,2.0,2.0,,,,
2025-10-14T18:37:01.469435,propagation,Q2,,,,"[1, 3]",,
2025-10-14T18:37:01.469442,propagation,Q3,,,,[0],,
2025-10-14T18:37:01.469448,constraint_check,,,,,,"Constraint(scope=['Q0', 'Q2'], name=nqueens_not_diagonal)",True
2025-10-14T18:37:01.469454,constraint_check,,,,,,"Constraint(scope=['Q1', 'Q2'], name=nqueens_not_diagonal)",True
2025-10-14T18:37:01.469457,assignment,Q2,0.0,3.0,,,,
2025-10-14T18:37:01.469466,propagation,Q3,,,,[1],,
2025-10-14T18:37:01.469471,constraint_check,,,,,,"Constraint(scope=['Q0', 'Q3'], name=nqueens_not_diagonal)",True
2025-10-14T18:37:01.469474,constraint_check,,,,,,"Constraint(scope=['Q1', 'Q3'], name=nqueens_not_diagonal)",True
